word,class,kana,translation,pronu,example
誤る,自他动1, あやまる,错，弄错，犯错,③,人生の道を誤る
痛ましい,i形,いたましい,令人痛心的，惨不忍睹的,④,火事の焼け跡が痛ましい
意図,名，他动3,いと,意图，动机,①,相手の意図を見抜く
違反,名，他动3,いはん,违反，违背,◎,スビート違反
うっすら,副,うっすら,微微地，隐约地,③,うっすら見える
うつむく,自动1,うつむく,俯首，低头，垂下头来,③/◎,恥ずかしくてうつむいた
重苦しい,i形,おもくるしい,郁闷的，沉闷的，心情沉重的,⑤/◎,重苦しい雰囲気
解消,名，自他动3,かいしょう,消除，解除，取消,◎,ストレス解消
かさかさ,副，na形，自动3,かさかさ,沙沙作响，干燥的，粗糙的,①/◎,かさかさした肌
微か,na形,かすか,微弱的，模糊的,①,微かな記憶
庇う,他动1,かばう,包庇，袒护,②,弱いものを庇う
仮～,接头,かり～,临时，暂时,null,仮契約
頑固,名，na形,がんこ,顽固，倔强,①,頑固親父
勧誘,名，他动3,かんゆう,劝诱，劝说，邀请,◎,保険の勧誘
簡略,名，na形,かんりゃく,简略，简介，简便,◎,簡略化
きっぱり,副，自动3,きっぱり,断然，干脆,③,きっぱりと断る
ぎっしり,副,ぎっしり,装的满满地，挤得满满地,③,荷物をぎっしりとスーツケースに詰める
寄付,名，他动3,きふ,捐款，捐赠,①,寄付金
愚痴,名,ぐち,抱怨,◎,愚痴を言う
ぐらぐら,副，na形，自动3,ぐらぐら,摇摇晃晃，摇摆不定，水烧开的样子,①,地震で建物がぐらぐらする
クリア,名，na形，他动3,クリア,清晰，过关,②,クリアな画面
減量,名，自他动3,げんりょう,减少重量，减轻体重,◎,夏ばてで減量した
交代,名，自动3,こうたい,交替，交换，轮流,◎,政権交代
効用,名,こうよう,用途，功效,◎,薬の効用
心強い,i形,こころづよい,有把握的，心里有底的,⑤,二人だから心強い
快い,i形,こころよい,心情舒畅的，愉快的，爽快的,④,快い海風
根気,名,こんき,毅力，耐性,◎,根気がある
再～,接头,さい～,再一次，再三，重复,null,再利用
撮影,名，他动3,さつえい,摄影，摄像,◎,海辺で撮影する
さらさら,副，na形，自动3,さらさら,沙沙声，（流水）潺潺，流利，干燥清爽,①,小川がさらさらと流れる
視界,名,しかい,眼睛能看到的范围，眼界,◎,視界が開ける
～式,接尾,～しき,方式，类型，仪式,null,西洋式
直～,接头,じか～,直接,null,直談判
姿勢,名,しせい,姿势，姿态，态度,◎,正しい姿勢
辞退,名，他动3,じたい,辞退，谢绝，辞谢,①,出場を辞退する
質素,名，na形,しっそ,简朴，朴素,①,質素な暮らし
しっとり,副，自动3,しっとり,潮湿，恬静，安详,③,しっとりタイプの化粧水
スムーズ,na形,スムーズ,流畅，圆滑，顺利,②,スムーズな動き
専念,名，自动3,せんねん,专心致志，全身心,◎,日本語の勉強に専念する
即座に,副,そくざに,当即，当场,①,即座に手を打つ
～帯,接尾,～たい,地带，区域，时间段，区间,null,火山帯
たいして,副,たいして,（并不）怎么,①,たいして役に立たない
対等,名，na形,たいとう,对等的，同等的,◎,対等な立場に立つ
中継,名，他动3,ちゅうけい,中继，中转，转播,◎,生中継
潰れる,自动2,つぶれる,压坏，挤破，倒塌，破产，泡汤，失去作用,③,銀行が潰れる
積む,他动1,つむ,堆高，堆积，装载，积累，储备,◎,石を積む
逃亡,名，自动3,とうぼう,逃亡，逃匿,◎,海外へ逃亡する
発想,名，他动3,はっそう,想法，主意，构思,◎,発想の転換
不～,接头,ふ～,不...，没...，...不好,null,不必要
麓,名,ふもと,山麓，山脚下的部分,③,山の麓にある村
ふんわり,副，na形，自动3,ふんわり,松软，轻飘飘地,③,ふんわりな食感
補足,名，他动3,ほそく,补充，补足,◎,補足資料
真～,接头,ま～,真实，真诚，正，纯粹,null,真ごころ
導く,他动1,みちびく,引领，领路，指导，诱导,③,正しく生徒を導く
密接,名，na形，自动3,みっせつ,（关系）密切，紧挨,◎,両国は密接な関係にある
模範,名,もはん,模范，榜样,◎,模範回答
憂うつ,名，na形,ゆううつ,忧郁，烦闷,◎,憂うつな天候
ゆらゆら,副，自动3,ゆらゆら,轻轻摇晃，晃动,①,柳の枝が風でゆらゆらと揺れる
わりと,副,わりと,比较地，相对地，意外的,◎,わりと早く終わった
相変わらず,副,あいかわらず,依然，照旧，和以前一样,◎,相変わらず忙しい毎日を送っている
アイス～,接头,アイス～,冰...,null,アイスコーヒー
合図,名，自他动3,あいず,信号，暗号,①,合図を送る
アイデア,名,アイデア,想法，主意,③/①,よいアイデアが浮かぶ
アイドル,名,アイドル,偶像,①,アイドル歌手
あいにく,副，na形,あいにく,不凑巧，实际情况与期望不符，不合时机,◎,あいにくなお天気
アイロン,名,アイロン,熨斗,◎,スチームアイロン
アウト,名,アウト,外侧，出界,①,アウトドアスポーツ
扇ぐ,他动1,あおぐ,（用扇子）扇风,②,扇子で扇ぐ
青白い,i形,あおじろい,青白色的，苍白的,◎/④,青白い顔
赤字,名,あかじ,赤字，亏空,◎,赤字になる
上がる,自他动1,あがる,登，攀爬，提高，上升，完成,◎,階段を上がる
～上がる,接尾,～あがる,向上，表示完成或结束,null,飛び上がる
空き～,接头,あき～,空的，空闲的,null,空き缶
空き,名,あき,间隙，空格，空闲，空缺,◎,空きが狭い
飽きっぽい,i形,あきっぽい,容易厌烦的,④,飽きっぽい性格
呆れる,自动2,あきれる,惊呆，因意外而不知所措,◎,呆れるほどよく食べる
悪,名,あく,恶，坏,①,悪に染まる
悪影響,名,あくえいきょう,不良影响,③,悪影響を及ぼす
握手,名，自动3,あくしゅ,握手,①,握手を交わす
