ああ,[ああ],◎,1.1,"【副词】
1.【注意】肯定や承諾などを表す感動詞は状況に応じていろいろな声調で発音される。 ;啊；呀！唉！哎呀！哎哟！（物に感じて発する声。）
【感叹词】
1.那样；那么。（あのように、あのような。）
2.《相关惯用语》
","ああなってはもうだめだ。
成了那样，可就没办法了。",1.2
愛1,[まな‐],,2.1,"【接头/接尾】
1.心爱'；得意。（マは真、ナは格助詞、称美·親愛の意を表す。）
2.同：真
","愛娘。
心爱的女儿；掌上明珠。",2.2
愛2,[あい],①,3.1,"【名词】
1.爱好，热爱，爱戴。
2.爱，爱情。友爱，恩爱。
","学問への愛
对学问的爱好",3.2
藍,[あい],◎,4.1,"【名词】
1.〈植〉蓼蓝。（タデ科の一年草。インドシナ原産。古く、中国を経て日本に渡来。高さ6、70センチメートルになり、秋に薄紅色の小花をつけ、黒褐色の痩果(そうか)を結ぶ。藍染めの染料をとるため、古くから各地で栽培されていた。タデアイ。）
2.靛青，蓝靛。（（1）の葉からとる染料。主成分、インジゴ。現在では工業的に合成され、天然のものは少ない。）
3.蓝色。（「藍色(あいいろ)」に同じ。）
","青は藍よりいでて藍より青し。
青出于蓝而胜于蓝。",4.2
愛煙家,[あいえんか],◎,5.1,"【名词】
1.好吸烟的人
",,
哀歌,[あいか],①,6.1,"【名词】
1.哀歌，悲歌。（悲しい心持を表した歌。悲歌。エレジー。）
",,
合鍵,[あいかぎ],◎,7.1,"【名词】
1.备用钥匙，另配的钥匙。（本来の鍵とは別にその錠に合わせて作った鍵。）
","合鍵をつくる。
配一把同样的钥匙。",7.2
相方2,[あいかた],◎,8.1,"【名词】
1.对方，对手，搭档，拍档。
2.陪客的妓女。
","最近、結婚した夫婦が相手の事を「相方」と呼んでいる。
最近，结婚的夫妇之间称对方为「相方」。",8.2
哀願,[あいがん],◎,9.1,"【名·他动词·サ变/三类】
1.哀求，苦苦恳求。（相手の情に訴えて切に願うこと。嘆願。）
","母は子どもたちを飢えから救ってやってくれと哀願した。
母亲哀求救救饥饿中的孩子们。",9.2
愛玩,[あいがん],◎,10.1,"【名词】
1.【他动·三类】 ;玩赏，欣赏。（大切にし、かわいがること。多く、小さな動物についていう。また、いつくしみ楽しむこと。）
","父の愛玩するパイプ。
父亲玩赏的烟斗。",10.2
愛嬌,[あいきょう],③,11.1,"【名词】
1.和蔼可亲，可爱之处。
2.殷勤。
3.（卖货送的）小赠品。
4.同：愛敬
","愛嬌のある娘。
招人喜欢的姑娘。",11.2
愛犬,[あいけん],◎,12.1,"【名词】
1.爱狗，喜欢狗。
2.喜爱的狗，爱犬。
",,
愛顧,[あいこ],①,13.1,"【名·他动词·サ变/三类】
1.光顾，眷顾，惠顾。
","相変らずご愛顧をお願いします。
敬请照旧惠顾。",13.2
愛護,[あいご],①,14.1,"【名·他动词·サ变/三类】
1.爱护，保护。（かわいがり保護すること。）
","動物愛護週間。
爱护动物周。",14.2
愛好,[あいこう],◎,15.1,"【名·他动词·サ变/三类】
1.爱好。（物事を愛し好むこと。）
","平和を愛好する。
爱好和平。",15.2
愛国,[あいこく],◎,16.1,"【名词】
1.爱国，热爱自己的国家。（自分の国を愛すること。）
","愛国者。
爱国者。",16.2
合言葉,[あいことば],③,17.1,"【名词】
1.口令，暗语，口头暗号。（味方だということを知らせるために使う合図の言葉。）
2.口号，标语。（同志の結束を固め、仲間の主義·主張を自他に確認させるためのモットー。）
","「山」と「川」を味方の合言葉とする。
把“山”与“河”二字作为我方的口令。",17.2
愛妻,[あいさい],◎,18.1,"【名词】
1.心爱的妻，爱妻子。（愛し、大切にしている妻。妻を大事にすること。）
",,
